,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Sitka,0,US,1540697509,44,37.17,-99.65,56.3,8.19
85,Colac,8,AU,1540697289,56,-38.34,143.59,61.97,2.71
86,Dhidhdhoo,68,MV,1540697510,100,6.88,73.1,81.68,1.7
87,Port Elizabeth,90,US,1540695360,100,39.31,-74.98,48.2,9.17
88,Parakou,20,BJ,1540697510,96,9.34,2.63,69.98,2.93
89,Chuy,64,UY,1540697510,90,-33.69,-53.46,58.55,7.63
90,Monteagudo,92,BO,1540697510,99,-19.8,-63.96,58.73,2.59
91,Aktau,0,KZ,1540695600,100,43.65,51.16,32.0,11.18
92,Qaanaaq,0,GL,1540698033,100,77.48,-69.36,-7.88,9.64
93,Santa Rita do Passa Quatro,80,BR,1540698034,92,-21.71,-47.48,67.82,5.17
94,Caucaia,20,BR,1540695600,78,-3.73,-38.66,78.8,8.05
95,Guerrero Negro,0,MX,1540697572,76,27.97,-114.04,69.3,8.3
96,Saint-Philippe,90,CA,1540696380,97,45.36,-73.48,35.6,18.34
97,Nantucket,90,US,1540696500,100,41.28,-70.1,60.8,13.87
98,Grindavik,90,IS,1540695600,100,63.84,-22.43,42.8,36.91
99,Turukhansk,100,RU,1540697573,92,65.8,87.96,36.27,13.33
100,Salaberry-de-Valleyfield,90,CA,1540696380,100,45.26,-74.13,35.6,20.8
101,Lifford,0,IE,1540697573,85,54.83,-7.48,32.85,5.95
102,New Norfolk,75,AU,1540695600,38,-42.78,147.06,59.0,4.7
103,Valparaiso,90,US,1540696500,93,41.47,-87.06,48.2,2.71
104,Erenhot,36,CN,1540697574,49,43.65,111.97,44.1,21.61
105,Lozovo,20,MK,1540695600,93,41.78,21.91,44.6,5.82
106,Iqaluit,40,CA,1540695600,78,63.75,-68.52,15.8,27.51
107,Fare,12,PF,1540697575,100,-16.7,-151.02,80.78,9.75
108,Husavik,76,CA,1540697575,93,50.56,-96.99,39.74,8.97
109,Ribeira Grande,8,PT,1540696637,100,38.52,-28.7,66.87,14.79
110,Sorong,0,ID,1540697575,96,-0.86,131.25,84.78,11.77
111,Nadym,64,RU,1540697576,88,65.53,72.51,26.82,10.87
112,Mbini,40,GQ,1540695600,100,1.58,9.62,78.8,6.93
113,Yinchuan,0,CN,1540697576,29,38.48,106.21,46.76,4.38
114,Ibipeba,80,BR,1540697576,43,-11.64,-42.01,82.22,4.38
115,Aasiaat,92,GL,1540697576,95,68.71,-52.87,33.8,5.17
116,Dikson,92,RU,1540697577,100,73.51,80.55,26.55,33.58
117,Yemelyanovo,0,RU,1540695600,61,56.17,92.69,37.4,6.85
118,Hobart,75,AU,1540695600,38,-42.88,147.33,59.0,4.7
119,Bredasdorp,68,ZA,1540695600,88,-34.53,20.04,66.2,8.05
120,Asyut,0,EG,1540692000,67,27.18,31.19,62.6,13.87
121,Xacmaz,0,AZ,1540697578,100,41.46,48.81,34.47,3.49
122,Verkhnyaya Inta,80,RU,1540697578,86,65.99,60.32,28.98,3.94
123,San Cristobal,40,EC,1540695600,81,-0.39,-78.55,51.8,8.05
124,Bambous Virieux,20,MU,1540695600,77,-20.34,57.76,68.0,5.82
125,Los Llanos de Aridane,44,ES,1540695600,88,28.66,-17.92,66.2,14.99
126,Ruthin,20,GB,1540696800,80,53.11,-3.31,39.2,10.29
127,Nisia Floresta,20,BR,1540695600,69,-6.09,-35.21,78.8,8.05
128,Road Town,75,VG,1540695180,78,18.42,-64.62,80.6,3.36
129,Mar del Plata,8,AR,1540697580,60,-46.43,-67.52,54.95,6.62
130,Poum,40,MK,1540695600,87,41.28,20.71,46.4,3.36
131,Souillac,0,FR,1540695600,80,45.6,-0.6,39.2,8.05
132,Bandarbeyla,92,SO,1540697580,100,9.49,50.81,75.74,5.73
133,Fortuna,20,ES,1540695600,62,38.18,-1.13,57.2,17.22
134,Magnor,8,SE,1540697641,83,59.95,12.2,27.32,6.29
135,Bulgan,0,MN,1540697642,43,48.81,103.53,41.54,4.05
136,Yulara,40,AU,1540695600,35,-25.24,130.99,84.2,6.93
137,Marsh Harbour,92,BS,1540698090,100,26.54,-77.06,80.6,5.95
138,Lompoc,90,US,1540696020,100,34.64,-120.46,60.8,3.36
139,Mookane,0,BW,1540698090,42,-23.68,26.66,60.48,8.97
140,Castro,88,CL,1540697643,98,-42.48,-73.76,52.92,6.51
141,Bollnas,0,SE,1540697643,82,61.35,16.39,27.63,8.75
142,Nouadhibou,44,MR,1540695600,88,20.93,-17.03,68.0,12.75
143,Saldanha,20,PT,1540697644,92,41.42,-6.55,31.73,5.39
144,Ponta do Sol,48,BR,1540697644,90,-20.63,-46.0,67.68,6.06
145,Solnechnyy,48,RU,1540697644,78,50.72,136.64,37.31,8.86
146,Vila Velha,20,BR,1540695600,78,-3.71,-38.6,78.8,8.05
147,Wilmington,90,US,1540696500,100,39.75,-75.55,48.2,8.05
148,Alofi,92,NU,1540695600,83,-19.06,-169.92,78.8,10.29
149,Mackay,20,CA,1540695600,59,53.65,-115.58,33.8,6.93
150,Trairi,80,BR,1540697646,100,-3.28,-39.27,79.43,17.02
151,Olga,90,US,1540696260,88,34.11,-118.17,75.2,1.92
152,Acari,0,BR,1540697646,81,-6.44,-36.64,68.9,10.42
153,Qasigiannguit,36,GL,1540695000,100,68.82,-51.19,28.4,1.12
154,Lesnoy,88,RU,1540697647,80,59.78,52.13,32.27,7.96
155,Lata,0,IN,1540697647,62,30.78,78.62,47.66,2.26
156,Severobaykalsk,68,RU,1540697647,91,55.65,109.32,28.53,2.93
157,Isangel,0,VU,1540697647,100,-19.55,169.27,76.28,5.17
158,Yellowknife,90,CA,1540696140,92,62.45,-114.38,30.2,6.93
159,Juybar,75,IR,1540695600,93,36.64,52.91,57.2,2.24
160,Shubarshi,0,KZ,1540697648,88,48.59,57.19,30.33,9.64
161,Gornopravdinsk,48,RU,1540697648,77,60.06,69.92,31.05,5.61
162,Khatanga,44,RU,1540697649,92,71.98,102.47,33.03,14.67
163,Marawi,88,PH,1540697649,85,8.0,124.29,76.46,3.15
164,Almaznyy,44,RU,1540697649,92,48.03,40.04,48.78,14.79
165,Rorvik,0,NO,1540697649,100,64.86,11.24,30.78,6.06
166,Kodinsk,0,RU,1540697649,61,58.6,99.18,37.58,6.29
167,Sola,0,NO,1540695000,79,58.89,5.65,33.8,11.77
168,East London,0,ZA,1540695600,88,-33.02,27.91,64.4,11.41
169,Batagay-Alyta,20,RU,1540697650,48,67.8,130.41,-10.04,2.71
170,Zhengjiatun,20,CN,1540697650,64,43.51,123.51,38.7,12.55
171,Cabo San Lucas,5,MX,1540695060,83,22.89,-109.91,77.0,3.94
172,Shingu,40,JP,1540692000,52,33.72,135.99,66.2,10.29
173,Xining,32,CN,1540697437,68,36.62,101.77,37.94,3.15
174,Santa Maria,0,BR,1540695600,77,-29.69,-53.81,62.6,10.29
175,Matiari,0,PK,1540692000,82,25.6,68.45,64.4,4.7
176,Port Lincoln,92,AU,1540697497,84,-34.72,135.86,64.04,7.96
177,Kruisfontein,0,ZA,1540697653,85,-34.0,24.73,61.65,13.0
178,Kamskiye Polyany,75,RU,1540695600,92,55.43,51.42,30.2,11.18
179,Hithadhoo,92,MV,1540698146,100,-0.6,73.08,78.03,8.75
180,Praia da Vitoria,75,PT,1540695600,72,38.73,-27.07,62.6,16.13
181,Torbay,75,CA,1540695600,100,47.66,-52.73,35.6,2.24
182,The Pas,90,CA,1540695600,99,53.82,-101.24,33.8,11.41
183,Pavlodar,0,KZ,1540695600,38,52.28,76.96,53.6,13.42
184,Atuona,0,PF,1540696616,100,-9.8,-139.03,79.52,17.25
185,Otavi,56,NA,1540697714,79,-19.64,17.34,57.87,4.16
186,Teguldet,8,RU,1540697715,59,57.31,88.17,43.25,8.63
187,Yangjiang,0,CN,1540697715,100,21.85,111.96,73.94,15.9
188,Chongwe,0,ZM,1540697715,57,-15.33,28.68,65.25,10.09
189,Yeniseysk,0,RU,1540697715,73,58.45,92.17,38.07,5.95
190,Newala,24,TZ,1540697715,94,-10.94,39.28,67.91,6.62
191,Lebu,0,ET,1540695600,76,8.96,38.73,50.0,2.24
192,Sayan,0,YE,1540697716,94,15.88,43.46,71.6,2.37
193,Muros,40,ES,1540695600,100,42.77,-9.06,37.4,6.93
194,Pevek,36,RU,1540697716,100,69.7,170.27,15.98,12.66
195,Ancud,92,CL,1540697717,97,-41.87,-73.83,53.51,7.18
196,Grenfell,36,AU,1540697717,82,-33.9,148.16,68.4,4.38
197,Cidreira,80,BR,1540697717,96,-30.17,-50.22,62.37,7.63
198,Jiayuguan,0,CN,1540697717,42,39.77,98.29,41.22,3.94
199,Reyes,12,BO,1540697718,88,-14.3,-67.34,74.43,1.59
200,Upernavik,76,GL,1540697718,100,72.79,-56.15,23.22,22.28
201,Rome,75,IT,1540695300,77,41.89,12.48,71.6,20.8
202,Ketchikan,1,US,1540695360,75,55.34,-131.65,53.6,10.87
203,The Valley,20,AI,1540695600,78,18.22,-63.06,80.6,6.93
204,Basco,75,US,1540696500,66,40.33,-91.2,55.4,5.82
205,Kargasok,92,RU,1540697719,98,59.06,80.87,48.42,6.51
206,Uni,76,RU,1540697719,82,57.75,51.49,29.25,7.63
207,Arraial do Cabo,88,BR,1540696637,97,-22.97,-42.02,72.68,12.88
208,Shambu,12,ET,1540697720,83,9.57,37.1,48.87,3.15
209,Ilulissat,36,GL,1540695000,100,69.22,-51.1,28.4,1.12
210,Palu,48,ID,1540697720,93,-0.9,119.87,72.18,1.92
211,Carutapera,100,BR,1540697720,87,-1.2,-46.02,79.79,7.4
212,Vila Franca do Campo,75,PT,1540695600,63,37.72,-25.43,62.6,8.05
213,Port Hardy,90,CA,1540695600,87,50.7,-127.42,48.2,20.8
214,Severo-Kurilsk,92,RU,1540697721,99,50.68,156.12,43.61,14.45
215,Moba,64,CD,1540697721,100,-7.04,29.77,66.78,3.38
216,Tarija,92,BO,1540697722,98,-21.53,-64.73,52.47,2.59
217,San Jose,20,PH,1540697723,58,15.79,120.99,85.73,4.16
218,Longyearbyen,75,NO,1540695000,79,78.22,15.63,19.4,9.17
219,Kabanjahe,44,ID,1540697723,97,3.1,98.49,72.41,1.14
220,Chaozhou,0,CN,1540695600,47,23.66,116.62,75.2,4.47
221,Severodvinsk,0,RU,1540695600,92,64.56,39.82,23.0,15.12
222,Benguela,80,AO,1540698202,100,-12.58,13.4,76.91,7.85
223,Epe,0,DE,1540696800,85,52.18,7.04,33.8,11.41
224,Thompson,90,CA,1540695600,98,55.74,-97.86,32.0,6.93
225,Tornio,75,FI,1540696800,84,61.12,27.27,32.0,9.17
226,El Alto,75,BO,1540695600,87,-16.5,-68.19,44.6,5.82
227,Palana,88,RU,1540698203,97,59.08,159.95,39.11,3.27
228,Ushtobe,92,KZ,1540698203,31,45.25,77.98,59.45,10.31
229,Alyangula,0,AU,1540698203,83,-13.85,136.42,87.93,5.61
230,Cravo Norte,0,CO,1540698204,81,6.3,-70.2,78.26,6.73
231,Nelson Bay,90,AU,1540695600,68,-32.72,152.14,64.4,12.75
232,Klaksvik,88,FO,1540696800,100,62.23,-6.59,32.0,1.12
233,Talnakh,88,RU,1540698204,93,69.49,88.39,29.03,21.72
234,Gubkinskiy,0,RU,1540698204,84,64.43,76.5,26.87,12.77
235,Kokstad,0,ZA,1540698205,68,-30.55,29.42,51.12,2.04
236,Faanui,44,PF,1540698205,100,-16.48,-151.75,81.63,9.42
237,West Bay,20,GB,1540695000,94,50.71,-2.76,37.4,9.17
238,Vila Praia de Ancora,20,PT,1540697400,93,41.81,-8.85,42.8,4.7
239,Butterworth,75,MY,1540695600,79,5.4,100.37,84.2,4.7
240,Saint Anthony,75,US,1540695360,66,43.97,-111.68,53.6,8.05
241,Barranca,68,PE,1540698206,100,-10.75,-77.76,60.98,9.19
242,Manggar,56,ID,1540698206,87,-2.88,108.27,85.91,4.38
243,Anadyr,40,RU,1540695600,86,64.73,177.51,28.4,2.24
244,Lang Son,44,VN,1540698207,77,21.83,106.73,74.39,4.5
245,Vestmanna,76,FO,1540696800,100,62.16,-7.17,32.0,1.12
246,Ginda,0,IN,1540698207,62,30.69,78.49,47.66,2.26
247,Ewa Beach,20,US,1540695420,61,21.32,-158.01,82.4,5.82
248,Saint-Augustin,0,FR,1540697400,80,44.83,-0.61,41.0,8.05
249,Naze,80,NG,1540698208,91,5.43,7.07,76.37,6.17
250,Stokmarknes,20,NO,1540698208,100,68.56,14.91,32.0,4.16
251,Aquiraz,20,BR,1540695600,78,-3.9,-38.39,78.8,8.05
252,Erzurum,0,TR,1540695000,92,39.91,41.27,24.8,2.59
253,Gat,0,SN,1540698209,80,14.69,-16.54,76.28,7.63
254,Vao,92,EE,1540698209,95,59.1,26.19,37.53,17.02
255,Kahului,40,US,1540696140,78,20.89,-156.47,80.6,17.22
256,Aswan,0,EG,1540698075,78,24.09,32.9,60.89,8.63
257,Pimenta Bueno,56,BR,1540698210,92,-11.68,-61.19,73.62,3.71
258,Provideniya,24,RU,1540698210,100,64.42,-173.23,26.55,3.83
259,Tamboril,0,BR,1540698210,57,-4.83,-40.32,75.74,8.08
260,Burnie,20,AU,1540698210,100,-41.05,145.91,53.87,13.0
261,Fonte Boa,0,BR,1540698211,97,-2.51,-66.09,76.73,2.37
262,Oranjemund,12,ZA,1540698211,98,-28.55,16.43,61.34,0.69
263,Mahebourg,20,MU,1540695600,77,-20.41,57.7,68.0,5.82
264,Sistranda,76,NO,1540698211,100,63.73,8.83,33.17,3.94
265,Sinnamary,92,GF,1540698211,98,5.38,-52.96,80.69,6.17
266,Scarborough,8,GB,1540695000,88,54.28,-0.41,42.8,10.29
267,Antalaha,64,MG,1540698262,93,-14.9,50.28,68.18,4.61
268,Kandrian,100,PG,1540698262,100,-6.21,149.55,73.53,2.93
269,Spirit River,20,CA,1540695600,74,55.78,-118.84,30.2,9.17
270,Tabuk,64,PH,1540698263,86,17.41,121.44,67.73,3.38
271,Touros,8,BR,1540698263,96,-5.2,-35.46,74.66,8.97
272,Kailua,75,US,1540695420,78,21.39,-157.74,82.4,9.17
273,Sayyan,0,YE,1540698264,74,15.17,44.32,36.45,2.04
274,Mahibadhoo,92,MV,1540698264,100,3.78,72.97,79.52,6.96
275,Tomatlan,0,MX,1540698264,95,19.93,-105.25,71.28,2.37
276,San Patricio,0,PY,1540698264,76,-26.98,-56.83,60.03,3.6
277,Tuatapere,88,NZ,1540698265,100,-46.13,167.69,49.1,2.04
278,Narsaq,80,GL,1540695000,74,60.91,-46.05,33.8,8.05
279,Fairview,90,US,1540697100,100,40.81,-74.0,51.8,6.4
280,Kinshasa,75,CD,1540696200,88,-4.32,15.31,73.4,11.41
281,Canandaigua,90,US,1540696260,93,42.88,-77.28,41.0,4.7
282,Cherskiy,80,RU,1540698242,87,68.75,161.3,2.43,5.95
283,Libreville,75,GA,1540695600,88,0.39,9.45,80.6,9.17
284,Ust-Karsk,76,RU,1540698267,43,52.71,118.82,29.97,10.98
285,Lagoa,0,PT,1540697400,62,37.14,-8.45,53.6,11.41
286,Mitsamiouli,20,KM,1540695600,83,-11.38,43.28,71.6,4.7
287,Gigmoto,76,PH,1540698268,97,13.78,124.39,82.31,22.39
288,Santa Vitoria do Palmar,64,BR,1540698268,90,-33.52,-53.37,58.55,7.63
289,Caravelas,56,BR,1540698268,100,-17.73,-39.27,77.4,26.75
290,Rundu,12,NA,1540698268,34,-17.91,19.77,62.42,9.19
291,Opuwo,44,NA,1540698269,90,-18.06,13.84,59.58,2.37
292,Sorland,80,NO,1540698269,100,67.67,12.69,41.63,10.54
293,San Quintin,75,PH,1540695600,54,17.54,120.52,84.2,9.17
294,Kjopsvik,0,NO,1540696800,92,68.1,16.37,21.2,3.36
295,Strezhevoy,75,RU,1540695600,100,60.73,77.6,37.4,2.24
296,Merauke,12,ID,1540698270,92,-8.49,140.4,83.93,11.21
297,Wasilla,1,US,1540695360,80,61.58,-149.44,42.8,6.93
298,Brae,48,GB,1540696800,86,60.4,-1.35,39.2,5.82
299,Mount Gambier,0,AU,1540698270,68,-37.83,140.78,62.87,2.59
300,Gwembe,0,ZM,1540698270,73,-16.5,27.61,60.44,7.18
301,Tapes,92,BR,1540698271,89,-30.67,-51.4,62.24,9.75
302,Aksay,0,RU,1540698271,88,47.27,39.86,50.85,13.67
303,Katsuura,75,JP,1540695600,52,33.93,134.5,64.4,13.87
304,Porto Novo,75,BR,1540695600,88,-23.68,-45.44,66.2,6.93
305,Saskylakh,92,RU,1540698272,91,71.97,114.09,29.75,20.15
306,Rosoman,0,BG,1540697400,86,42.76,23.08,39.2,4.7
307,Huaraz,48,PE,1540698272,92,-9.53,-77.53,39.38,1.7
308,Warman,75,CA,1540695600,55,52.32,-106.58,39.2,9.17
309,Zapolyarnyy,80,RU,1540696800,86,69.43,30.82,28.4,10.29
310,Tatarsk,92,RU,1540698323,76,55.22,75.96,51.57,8.63
311,Virginia Beach,90,US,1540697640,87,36.85,-75.98,57.2,11.41
312,Buraydah,40,SA,1540695600,59,26.33,43.97,62.6,12.75
313,Ereymentau,92,KZ,1540698323,84,51.62,73.1,49.73,15.01
314,Hamilton,75,BM,1540695300,73,32.3,-64.78,75.2,20.8
315,Mpika,0,ZM,1540698324,65,-11.84,31.4,60.44,9.75
316,Saint-Joseph,68,FR,1540697400,93,43.56,6.97,57.2,4.7
317,Oistins,20,BB,1540695600,94,13.07,-59.53,73.4,5.82
318,Barkhan,0,PK,1540698325,78,29.9,69.52,52.61,2.37
319,Beloha,12,MG,1540698325,90,-25.17,45.06,62.82,8.08
320,Poco Branco,20,BR,1540695600,69,-5.62,-35.66,78.8,8.05
321,Turayf,0,SA,1540695600,75,31.68,38.65,42.8,5.82
322,Usinsk,0,RU,1540698326,86,66.0,57.56,21.47,6.96
323,Ust-Nera,36,RU,1540698326,74,64.57,143.24,5.67,2.59
324,Santa Cruz,1,US,1540695360,82,36.97,-122.03,64.4,2.71
325,Ishinomaki,20,JP,1540695600,42,38.42,141.3,66.2,5.82
326,Meadow Lake,32,CA,1540698328,70,54.13,-108.44,39.02,8.75
327,Berlevag,88,NO,1540698328,100,70.86,29.09,33.08,15.9
328,Atar,44,MR,1540698328,29,20.52,-13.05,77.99,6.73
329,Aykhal,88,RU,1540698328,85,65.95,111.51,31.19,13.11
330,Bosaso,0,SO,1540698328,100,11.28,49.18,76.91,4.94
331,Alice Springs,75,AU,1540697400,32,-23.7,133.88,84.2,9.17
332,Ballina,0,IE,1540698158,100,54.11,-9.15,34.92,6.62
333,Alice Town,20,BS,1540698329,100,25.72,-79.3,80.33,6.96
334,Atikokan,88,CA,1540698329,99,48.76,-91.62,42.53,6.85
335,Carauari,20,BR,1540698330,89,-4.88,-66.9,79.25,2.59
336,Bergerac,0,FR,1540697400,75,44.85,0.49,41.0,5.82
337,Vidalia,1,US,1540695360,93,31.57,-91.43,57.2,3.36
338,Bulawayo,0,ZW,1540698054,69,-20.16,28.59,52.88,6.17
339,Glencoe,0,ZA,1540698331,79,-28.17,30.16,50.85,1.81
340,Ca Mau,80,VN,1540698331,100,9.18,105.15,78.57,6.17
341,Lewistown,1,US,1540695300,87,40.39,-90.15,50.0,6.93
342,Okhotsk,68,RU,1540698331,100,59.36,143.24,31.5,5.84
343,Bambanglipuro,48,ID,1540698332,87,-7.95,110.28,80.37,4.61
344,Joshimath,0,IN,1540698332,63,30.57,79.57,6.08,1.36
345,Sao Filipe,24,CV,1540698332,100,14.9,-24.5,77.36,12.44
346,Vila,90,IT,1540696800,100,45.18,8.4,57.2,8.05
347,Kuandian,76,CN,1540698333,55,40.73,124.78,38.43,5.73
348,Mbandaka,24,CD,1540698333,99,0.05,18.26,73.85,0.47
349,Kirakira,36,SB,1540698333,100,-10.46,161.92,83.39,7.63
350,Deputatskiy,0,RU,1540698333,63,69.3,139.9,-4.37,4.94
351,Damghan,92,IR,1540698334,73,36.17,54.34,50.13,2.48
352,Matara,44,PE,1540698384,98,-13.74,-72.9,45.14,1.14
353,Vila do Maio,40,CV,1540695600,78,15.13,-23.22,77.0,10.29
354,Matagami,56,NG,1540698384,85,9.67,8.4,65.7,2.59
355,Collie,0,AU,1540698385,63,-33.36,116.15,68.58,8.63
356,Yuryev-Polskiy,48,RU,1540698385,93,56.5,39.68,41.0,14.56
357,Talavera,75,PH,1540695600,52,15.58,120.92,87.8,6.93
358,Markova,0,RU,1540695600,74,52.21,104.21,37.4,2.37
359,Colares,20,PT,1540697400,76,38.8,-9.45,48.2,4.7
360,Belaya Gora,68,RU,1540698386,78,68.54,146.19,13.05,8.97
361,Ellisras,0,ZA,1540698386,51,-23.67,27.74,58.28,3.49
362,Buala,32,SB,1540698386,97,-8.15,159.59,83.84,3.49
363,Gravdal,0,NO,1540696800,59,59.79,5.78,33.8,10.29
364,Sayville,90,US,1540696920,93,40.74,-73.08,53.6,6.93
365,Ndola,0,ZM,1540698387,37,-12.97,28.64,61.92,10.65
366,Mumford,32,GH,1540698387,96,5.26,-0.76,77.27,5.17
367,Morris,1,US,1540696500,87,41.36,-88.42,46.4,5.82
368,Harbour Breton,56,CA,1540698388,100,47.48,-55.8,41.18,2.15
369,Nador,24,MA,1540697400,82,35.17,-2.93,59.0,13.87
370,Garowe,12,SO,1540698388,87,8.41,48.48,60.35,2.71
371,Oga,0,NG,1540698389,93,8.18,5.65,71.6,2.82
372,Punta Umbria,24,ES,1540698389,100,37.18,-6.97,52.43,13.44
373,Golubitskaya,0,RU,1540695600,82,45.32,37.28,59.0,13.42
